startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2014-05-20T00:00:00Z","2014-05-20T00:30:00Z",,,,,,,,1,,,
"2014-05-20T00:30:00Z","2014-05-20T01:00:00Z",,,,,,,,1,,,
"2014-05-20T01:00:00Z","2014-05-20T01:30:00Z",,,,,,,,1,,,
"2014-05-20T01:30:00Z","2014-05-20T02:00:00Z",,,,,,,,1,,,
"2014-05-20T02:00:00Z","2014-05-20T02:30:00Z",,,,,,,,1,,,
"2014-05-20T02:30:00Z","2014-05-20T03:00:00Z",,,,,,,,1,,,
"2014-05-20T03:00:00Z","2014-05-20T03:30:00Z",,,,,,,,1,,,
"2014-05-20T03:30:00Z","2014-05-20T04:00:00Z",,,,,,,,1,,,
"2014-05-20T04:00:00Z","2014-05-20T04:30:00Z",,,,,,,,1,,,
"2014-05-20T04:30:00Z","2014-05-20T05:00:00Z",,,,,,,,1,,,
"2014-05-20T05:00:00Z","2014-05-20T05:30:00Z",,,,,,,,1,,,
"2014-05-20T05:30:00Z","2014-05-20T06:00:00Z",,,,,,,,1,,,
"2014-05-20T06:00:00Z","2014-05-20T06:30:00Z",,,,,,,,1,,,
"2014-05-20T06:30:00Z","2014-05-20T07:00:00Z",,,,,,,,1,,,
"2014-05-20T07:00:00Z","2014-05-20T07:30:00Z",,,,,,,,1,,,
"2014-05-20T07:30:00Z","2014-05-20T08:00:00Z",,,,,,,,1,,,
"2014-05-20T08:00:00Z","2014-05-20T08:30:00Z",,,,,,,,1,,,
"2014-05-20T08:30:00Z","2014-05-20T09:00:00Z",,,,,,,,1,,,
"2014-05-20T09:00:00Z","2014-05-20T09:30:00Z",,,,,,,,1,,,
"2014-05-20T09:30:00Z","2014-05-20T10:00:00Z",,,,,,,,1,,,
"2014-05-20T10:00:00Z","2014-05-20T10:30:00Z",,,,,,,,1,,,
"2014-05-20T10:30:00Z","2014-05-20T11:00:00Z",,,,,,,,1,,,
"2014-05-20T11:00:00Z","2014-05-20T11:30:00Z",,,,,,,,1,,,
"2014-05-20T11:30:00Z","2014-05-20T12:00:00Z",,,,,,,,1,,,
"2014-05-20T12:00:00Z","2014-05-20T12:30:00Z",,,,,,,,1,,,
"2014-05-20T12:30:00Z","2014-05-20T13:00:00Z",,,,,,,,1,,,
"2014-05-20T13:00:00Z","2014-05-20T13:30:00Z",,,,,,,,1,,,
"2014-05-20T13:30:00Z","2014-05-20T14:00:00Z",,,,,,,,1,,,
"2014-05-20T14:00:00Z","2014-05-20T14:30:00Z",,,,,,,,1,,,
"2014-05-20T14:30:00Z","2014-05-20T15:00:00Z",,,,,,,,1,,,
"2014-05-20T15:00:00Z","2014-05-20T15:30:00Z",,,,,,,,1,,,
"2014-05-20T15:30:00Z","2014-05-20T16:00:00Z",,,,,,,,1,,,
"2014-05-20T16:00:00Z","2014-05-20T16:30:00Z",,,,,,,,1,,,
"2014-05-20T16:30:00Z","2014-05-20T17:00:00Z",,,,,,,,1,,,
"2014-05-20T17:00:00Z","2014-05-20T17:30:00Z",,,,,,,,1,,,
"2014-05-20T17:30:00Z","2014-05-20T18:00:00Z",,,,,,,,1,,,
"2014-05-20T18:00:00Z","2014-05-20T18:30:00Z",,,,,,,,1,,,
"2014-05-20T18:30:00Z","2014-05-20T19:00:00Z",,,,,,,,1,,,
"2014-05-20T19:00:00Z","2014-05-20T19:30:00Z",,,,,,,,1,,,
"2014-05-20T19:30:00Z","2014-05-20T20:00:00Z",,,,,,,,1,,,
"2014-05-20T20:00:00Z","2014-05-20T20:30:00Z",,,,,,,,1,,,
"2014-05-20T20:30:00Z","2014-05-20T21:00:00Z",,,,,,,,1,,,
"2014-05-20T21:00:00Z","2014-05-20T21:30:00Z",83.12881,83.11327,83.13928,0.00002,126.00000,0.01722,0.00043,1,,,
"2014-05-20T21:30:00Z","2014-05-20T22:00:00Z",83.11185,83.09927,83.12628,0.00003,175.00000,0.01722,0.00042,0,,,
"2014-05-20T22:00:00Z","2014-05-20T22:30:00Z",83.09506,83.06226,83.11527,0.00024,171.00000,0.01736,0.00119,0,,,
"2014-05-20T22:30:00Z","2014-05-20T23:00:00Z",83.07099,83.05926,83.07926,0.00002,169.00000,0.01721,0.00035,0,,,
"2014-05-20T23:00:00Z","2014-05-20T23:30:00Z",83.06784,83.04026,83.07826,0.00005,168.00000,0.01724,0.00057,0,,,
"2014-05-20T23:30:00Z","2014-05-21T00:00:00Z",83.04763,83.02525,83.06026,0.00003,174.00000,0.01722,0.00044,0,,,
