startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2016-02-29T23:30:00Z","2016-03-01T00:00:00Z",,,,,,,,1,,,
"2016-03-01T00:00:00Z","2016-03-01T00:30:00Z",,,,,,,,1,,,
"2016-03-01T00:30:00Z","2016-03-01T01:00:00Z",,,,,,,,1,,,
"2016-03-01T01:00:00Z","2016-03-01T01:30:00Z",,,,,,,,1,,,
"2016-03-01T01:30:00Z","2016-03-01T02:00:00Z",,,,,,,,1,,,
"2016-03-01T02:00:00Z","2016-03-01T02:30:00Z",,,,,,,,1,,,
"2016-03-01T02:30:00Z","2016-03-01T03:00:00Z",,,,,,,,1,,,
"2016-03-01T03:00:00Z","2016-03-01T03:30:00Z",,,,,,,,1,,,
"2016-03-01T03:30:00Z","2016-03-01T04:00:00Z",,,,,,,,1,,,
"2016-03-01T04:00:00Z","2016-03-01T04:30:00Z",,,,,,,,1,,,
"2016-03-01T04:30:00Z","2016-03-01T05:00:00Z",,,,,,,,1,,,
"2016-03-01T05:00:00Z","2016-03-01T05:30:00Z",,,,,,,,1,,,
"2016-03-01T05:30:00Z","2016-03-01T06:00:00Z",,,,,,,,1,,,
"2016-03-01T06:00:00Z","2016-03-01T06:30:00Z",,,,,,,,1,,,
"2016-03-01T06:30:00Z","2016-03-01T07:00:00Z",,,,,,,,1,,,
"2016-03-01T07:00:00Z","2016-03-01T07:30:00Z",,,,,,,,1,,,
"2016-03-01T07:30:00Z","2016-03-01T08:00:00Z",,,,,,,,1,,,
"2016-03-01T12:00:00Z","2016-03-01T12:30:00Z",,,,,,,,1,,,
"2016-03-01T12:30:00Z","2016-03-01T13:00:00Z",,,,,,,,1,,,
"2016-03-01T13:00:00Z","2016-03-01T13:30:00Z",,,,,,,,1,,,
"2016-03-01T13:30:00Z","2016-03-01T14:00:00Z",,,,,,,,,,,
"2016-03-01T14:00:00Z","2016-03-01T14:30:00Z",,,,,,,,1,,,
"2016-03-01T14:30:00Z","2016-03-01T15:00:00Z",,,,,,,,1,,,
"2016-03-01T15:00:00Z","2016-03-01T15:30:00Z",,,,,,,,1,,,
"2016-03-01T15:30:00Z","2016-03-01T16:00:00Z",,,,,,,,1,,,
"2016-03-01T16:00:00Z","2016-03-01T16:30:00Z",,,,,,,,1,,,
"2016-03-01T16:30:00Z","2016-03-01T17:00:00Z",,,,,,,,1,,,
"2016-03-01T17:00:00Z","2016-03-01T17:30:00Z",,,,,,,,1,,,
"2016-03-01T17:30:00Z","2016-03-01T18:00:00Z",,,,,,,,1,,,
"2016-03-01T18:00:00Z","2016-03-01T18:30:00Z",,,,,,,,1,,,
"2016-03-01T18:30:00Z","2016-03-01T19:00:00Z",,,,,,,,1,,,
"2016-03-01T19:00:00Z","2016-03-01T19:30:00Z",,,,,,,,1,,,
"2016-03-01T19:30:00Z","2016-03-01T20:00:00Z",,,,,,,,1,,,
"2016-03-01T20:00:00Z","2016-03-01T20:30:00Z",,,,,,,,1,,,
"2016-03-01T20:30:00Z","2016-03-01T21:00:00Z",,,,,,,,1,,,
"2016-03-01T21:00:00Z","2016-03-01T21:30:00Z",,,,,,,,1,,,
"2016-03-01T21:30:00Z","2016-03-01T22:00:00Z",,,,,,,,1,,,
"2016-03-01T22:00:00Z","2016-03-01T22:30:00Z",,,,,,,,1,,,
"2016-03-01T22:30:00Z","2016-03-01T23:00:00Z",,,,,,,,1,,,
"2016-03-01T23:00:00Z","2016-03-01T23:30:00Z",,,,,,,,1,,,
"2016-03-01T23:30:00Z","2016-03-02T00:00:00Z",,,,,,,,1,,,
"2016-03-02T00:00:00Z","2016-03-02T00:30:00Z",,,,,,,,1,,,
"2016-03-02T00:30:00Z","2016-03-02T01:00:00Z",,,,,,,,1,,,
"2016-03-02T01:00:00Z","2016-03-02T01:30:00Z",,,,,,,,1,,,
"2016-03-02T01:30:00Z","2016-03-02T02:00:00Z",,,,,,,,1,,,
"2016-03-02T02:00:00Z","2016-03-02T02:30:00Z",,,,,,,,1,,,
