startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2016-03-31T23:30:00Z","2016-04-01T00:00:00Z",83.00501,82.99525,83.01626,0.00003,180.00000,0.01722,0.00043,0,,,
"2016-04-01T00:00:00Z","2016-04-01T00:30:00Z",83.02850,83.01526,83.03926,0.00006,179.00000,0.01724,0.00056,0,,,
"2016-04-01T00:30:00Z","2016-04-01T01:00:00Z",83.05454,83.03826,83.06927,0.00009,180.00000,0.01726,0.00071,0,,,
"2016-04-01T01:00:00Z","2016-04-01T01:30:00Z",83.06447,83.06126,83.06826,0.00000,180.00000,0.01720,0.00015,0,,,
"2016-04-01T01:30:00Z","2016-04-01T02:00:00Z",83.07860,83.06826,83.09227,0.00003,180.00000,0.01722,0.00044,0,,,
"2016-04-01T02:00:00Z","2016-04-01T02:30:00Z",83.11666,83.09227,83.14128,0.00018,180.00000,0.01731,0.00099,0,,,
"2016-04-01T02:30:00Z","2016-04-01T03:00:00Z",83.16139,83.14128,83.18329,0.00013,180.00000,0.01728,0.00085,0,,,
"2016-04-01T03:00:00Z","2016-04-01T03:30:00Z",83.19485,83.18429,83.20729,0.00004,180.00000,0.01723,0.00049,0,,,
"2016-04-01T03:30:00Z","2016-04-01T04:00:00Z",83.21774,83.20729,83.22330,0.00001,180.00000,0.01721,0.00027,0,,,
"2016-04-01T04:00:00Z","2016-04-01T04:30:00Z",83.22904,83.21929,83.24030,0.00004,180.00000,0.01723,0.00047,0,,,
"2016-04-01T04:30:00Z","2016-04-01T05:00:00Z",83.23682,83.23129,83.24430,0.00001,180.00000,0.01721,0.00029,0,,,
"2016-04-01T05:00:00Z","2016-04-01T05:30:00Z",83.24804,83.24030,83.25730,0.00002,180.00000,0.01721,0.00033,0,,,
"2016-04-01T05:30:00Z","2016-04-01T06:00:00Z",83.26701,83.25430,83.27731,0.00004,180.00000,0.01722,0.00044,0,,,
"2016-04-01T06:00:00Z","2016-04-01T06:30:00Z",83.28340,83.27030,83.28930,0.00002,180.00000,0.01721,0.00032,0,,,
"2016-04-01T06:30:00Z","2016-04-01T07:00:00Z",83.29160,83.28130,83.30531,0.00006,180.00000,0.01724,0.00060,0,,,
"2016-04-01T07:00:00Z","2016-04-01T07:30:00Z",83.31439,83.30230,83.33031,0.00005,180.00000,0.01723,0.00050,0,,,
"2016-04-01T07:30:00Z","2016-04-01T08:00:00Z",83.33729,83.31831,83.34832,0.00006,180.00000,0.01724,0.00056,0,,,
"2016-04-01T08:00:00Z","2016-04-01T08:30:00Z",83.34216,83.33632,83.34732,0.00001,180.00000,0.01720,0.00020,0,,,
"2016-04-01T08:30:00Z","2016-04-01T09:00:00Z",83.34628,83.34131,83.35232,0.00001,180.00000,0.01721,0.00021,0,,,
"2016-04-01T09:00:00Z","2016-04-01T09:30:00Z",83.34294,83.33432,83.35232,0.00003,180.00000,0.01722,0.00042,0,,,
"2016-04-01T09:30:00Z","2016-04-01T10:00:00Z",83.32967,83.32331,83.33632,0.00002,178.00000,0.01721,0.00029,0,,,
"2016-04-01T10:00:00Z","2016-04-01T10:30:00Z",83.32501,83.31531,83.33432,0.00002,180.00000,0.01722,0.00036,0,,,
"2016-04-01T10:30:00Z","2016-04-01T11:00:00Z",83.34215,83.33432,83.34631,0.00001,180.00000,0.01721,0.00022,0,,,
"2016-04-01T11:00:00Z","2016-04-01T11:30:00Z",83.36263,83.33931,83.38432,0.00018,180.00000,0.01732,0.00100,0,,,
"2016-04-01T11:30:00Z","2016-04-01T12:00:00Z",83.39580,83.38332,83.40933,0.00005,180.00000,0.01723,0.00051,0,,,
"2016-04-01T12:00:00Z","2016-04-01T12:30:00Z",83.42296,83.41033,83.44333,0.00013,180.00000,,0.00085,0,,,
"2016-04-01T12:30:00Z","2016-04-01T13:00:00Z",83.45518,83.44133,83.46834,0.00007,180.00000,0.01725,0.00063,0,,,
"2016-04-01T13:00:00Z","2016-04-01T13:30:00Z",83.48031,83.46634,83.49534,0.00008,180.00000,0.01725,0.00066,0,,,
"2016-04-01T13:30:00Z","2016-04-01T14:00:00Z",83.50881,83.49534,83.51735,0.00003,,0.01722,0.00043,0,,,
"2016-04-01T14:00:00Z","2016-04-01T14:30:00Z",83.52387,83.51435,83.53535,,179.00000,0.01722,0.00041,0,,,
"2016-04-01T14:30:00Z","2016-04-01T15:00:00Z",83.53978,83.52835,83.54735,0.00002,180.00000,0.01721,0.00029,0,,,
"2016-04-01T15:00:00Z","2016-04-01T15:30:00Z",83.56097,83.53835,83.57636,0.00012,180.00000,0.01728,0.00082,0,,,
"2016-04-01T15:30:00Z","2016-04-01T16:00:00Z",83.58359,83.56635,83.60036,0.00008,180.00000,0.01725,0.00066,0,,,
"2016-04-01T16:00:00Z","2016-04-01T16:30:00Z",83.60165,83.59136,83.61737,0.00004,180.00000,0.01723,0.00046,0,,,
"2016-04-01T16:30:00Z","2016-04-01T17:00:00Z",83.63472,83.60636,83.65238,0.00013,180.00000,0.01728,0.00084,0,,,
"2016-04-01T17:00:00Z","2016-04-01T17:30:00Z",83.65033,83.62537,83.66537,0.00004,180.00000,0.01723,0.00048,0,,,
"2016-04-01T17:30:00Z","2016-04-01T18:00:00Z",83.64746,83.61936,83.66037,0.00005,180.00000,0.01723,0.00054,0,,,
"2016-04-01T18:00:00Z","2016-04-01T18:30:00Z",83.63550,83.60436,83.65437,0.00011,180.00000,0.01727,0.00079,0,,,
"2016-04-01T18:30:00Z","2016-04-01T19:00:00Z",83.62037,83.60336,83.62837,0.00002,180.00000,0.01721,0.00035,0,,,
"2016-04-01T19:00:00Z","2016-04-01T19:30:00Z",83.62502,83.60936,83.63437,0.00003,180.00000,0.01722,0.00038,0,,,
"2016-04-01T19:30:00Z","2016-04-01T20:00:00Z",83.61792,83.59336,83.62837,0.00004,180.00000,0.01723,0.00049,0,,,
"2016-04-01T20:00:00Z","2016-04-01T20:30:00Z",83.59409,83.57436,83.61237,0.00008,180.00000,0.01725,0.00065,0,,,
"2016-04-01T20:30:00Z","2016-04-01T21:00:00Z",83.57048,83.54635,83.59036,0.00010,180.00000,0.01727,0.00076,0,,,
"2016-04-01T21:00:00Z","2016-04-01T21:30:00Z",83.54241,83.51435,83.55836,0.00004,180.00000,0.01723,0.00049,0,,,
"2016-04-01T21:30:00Z","2016-04-01T22:00:00Z",83.52473,83.48634,83.54335,0.00010,180.00000,0.01726,0.00074,0,,,
"2016-04-01T22:00:00Z","2016-04-01T22:30:00Z",83.49733,83.46634,83.51234,0.00005,180.00000,0.01724,0.00055,0,,,
"2016-04-01T22:30:00Z","2016-04-01T23:00:00Z",83.48545,83.40433,83.51234,0.00039,180.00000,0.01745,0.00147,0,,,
"2016-04-01T23:00:00Z","2016-04-01T23:30:00Z",83.47831,83.42933,83.49834,0.00015,178.00000,0.01729,0.00090,0,,,
"2016-04-01T23:30:00Z","2016-04-02T00:00:00Z",83.50466,83.46434,83.53235,0.00019,180.00000,0.01732,0.00102,0,,,
"2016-04-02T00:00:00Z","2016-04-02T00:30:00Z",83.54485,83.49434,83.57536,0.00028,180.00000,0.01738,0.00124,0,,,
"2016-04-02T00:30:00Z","2016-04-02T01:00:00Z",83.58814,83.56335,83.60136,0.00006,180.00000,0.01724,0.00060,0,,,
"2016-04-02T01:00:00Z","2016-04-02T01:30:00Z",83.59022,83.57236,83.60336,0.00003,180.00000,,0.00043,0,,,
"2016-04-02T01:30:00Z","2016-04-02T02:00:00Z",83.60196,83.57336,83.61837,0.00007,180.00000,0.01724,0.00061,0,,,
"2016-04-02T02:00:00Z","2016-04-02T02:30:00Z",83.64832,83.60036,83.66738,0.00026,180.00000,0.01737,0.00120,0,,,
"2016-04-02T02:30:00Z","2016-04-02T03:00:00Z",83.66417,83.64637,83.67837,0.00004,180.00000,0.01722,0.00045,0,,,
"2016-04-02T03:00:00Z","2016-04-02T03:30:00Z",83.68779,83.66337,83.70738,0.00016,180.00000,0.01730,0.00095,0,,,
"2016-04-02T03:30:00Z","2016-04-02T04:00:00Z",83.71980,83.70038,83.74039,0.00010,180.00000,0.01726,0.00073,0,,,
"2016-04-02T04:00:00Z","2016-04-02T04:30:00Z",83.73294,83.71938,83.74339,0.00001,180.00000,0.01721,0.00028,0,,,
"2016-04-02T04:30:00Z","2016-04-02T05:00:00Z",83.72706,83.69938,83.74039,0.00009,180.00000,0.01726,0.00071,0,,,
"2016-04-02T05:00:00Z","2016-04-02T05:30:00Z",83.71828,83.70038,83.72739,0.00003,180.00000,0.01722,0.00038,0,,,
"2016-04-02T05:30:00Z","2016-04-02T06:00:00Z",83.71672,83.70438,83.72539,0.00002,180.00000,0.01721,0.00032,0,,,
"2016-04-02T06:00:00Z","2016-04-02T06:30:00Z",83.71062,83.69938,83.71638,0.00002,180.00000,0.01721,0.00029,0,,,
"2016-04-02T06:30:00Z","2016-04-02T07:00:00Z",83.71023,83.69738,83.72639,0.00007,180.00000,0.01724,0.00060,0,,,
"2016-04-02T07:00:00Z","2016-04-02T07:30:00Z",83.72755,83.71838,83.73739,0.00002,180.00000,0.01721,0.00031,0,,,
"2016-04-02T07:30:00Z","2016-04-02T08:00:00Z",83.72468,83.70738,83.73639,0.00004,180.00000,0.01723,0.00049,0,,,
"2016-04-02T08:00:00Z","2016-04-02T08:30:00Z",83.72960,83.72339,83.73438,0.00001,180.00000,0.01720,0.00021,0,,,
"2016-04-02T08:30:00Z","2016-04-02T09:00:00Z",83.72771,83.72339,83.73238,0.00001,180.00000,0.01720,0.00017,0,,,
"2016-04-02T09:00:00Z","2016-04-02T09:30:00Z",83.72569,83.71738,83.72939,0.00000,180.00000,0.01720,0.00016,0,,,
"2016-04-02T09:30:00Z","2016-04-02T10:00:00Z",83.71139,83.69738,83.71838,0.00002,180.00000,0.01722,0.00036,0,,,
"2016-04-02T10:00:00Z","2016-04-02T10:30:00Z",83.70046,83.69038,83.70638,0.00001,,0.01720,0.00018,0,,,
"2016-04-02T10:30:00Z","2016-04-02T11:00:00Z",83.71545,83.70138,83.72639,0.00004,180.00000,0.01723,0.00049,0,,,
"2016-04-02T11:00:00Z","2016-04-02T11:30:00Z",83.73055,83.71838,83.73839,0.00002,180.00000,0.01721,0.00031,0,,,
"2016-04-02T11:30:00Z","2016-04-02T12:00:00Z",83.73590,83.71838,83.75039,0.00004,180.00000,0.01723,0.00049,0,,,
"2016-04-02T12:00:00Z","2016-04-02T12:30:00Z",83.75674,83.73538,83.76939,0.00006,180.00000,0.01724,0.00056,0,,,
"2016-04-02T12:30:00Z","2016-04-02T13:00:00Z",83.76325,83.74939,83.77339,0.00002,178.00000,0.01721,0.00031,0,,,
"2016-04-02T13:00:00Z","2016-04-02T13:30:00Z",83.77094,83.74539,83.80040,0.00016,180.00000,0.01730,0.00094,0,,,
"2016-04-02T13:30:00Z","2016-04-02T14:00:00Z",83.80293,83.77740,83.82141,0.00007,180.00000,0.01724,0.00062,0,,,
"2016-04-02T14:00:00Z","2016-04-02T14:30:00Z",83.80913,83.77940,83.82940,0.00009,180.00000,0.01726,,0,,,
"2016-04-02T14:30:00Z","2016-04-02T15:00:00Z",83.80545,83.76340,83.84141,0.00018,180.00000,0.01732,0.00101,0,,,
"2016-04-02T15:00:00Z","2016-04-02T15:30:00Z",83.81350,83.77740,83.84041,0.00018,180.00000,0.01732,0.00100,0,,,
"2016-04-02T15:30:00Z","2016-04-02T16:00:00Z",83.81359,83.77339,83.83641,0.00014,180.00000,0.01729,0.00087,0,,,
"2016-04-02T16:00:00Z","2016-04-02T16:30:00Z",83.80307,83.76939,83.82341,0.00014,180.00000,0.01729,0.00090,0,,,
"2016-04-02T16:30:00Z","2016-04-02T17:00:00Z",83.80194,83.76540,83.82141,0.00013,180.00000,0.01728,0.00085,0,,,
"2016-04-02T17:00:00Z","2016-04-02T17:30:00Z",83.80276,83.77339,83.81240,0.00007,180.00000,0.01725,,0,,,
"2016-04-02T17:30:00Z","2016-04-02T18:00:00Z",83.78880,83.75139,83.80540,0.00015,180.00000,0.01729,0.00090,0,,,
"2016-04-02T18:00:00Z","2016-04-02T18:30:00Z",83.76502,83.73139,83.78440,0.00010,180.00000,0.01726,0.00075,0,,,
"2016-04-02T18:30:00Z","2016-04-02T19:00:00Z",83.72058,83.68038,83.74739,0.00022,180.00000,0.01734,0.00111,0,,,
"2016-04-02T19:00:00Z","2016-04-02T19:30:00Z",83.67879,83.65037,83.70038,0.00013,180.00000,0.01728,0.00084,0,,,
"2016-04-02T19:30:00Z","2016-04-02T20:00:00Z",83.64834,83.62737,83.67138,0.00009,180.00000,0.01726,0.00071,0,,,
"2016-04-02T20:00:00Z","2016-04-02T20:30:00Z",83.61223,83.57936,83.63937,0.00021,180.00000,0.01733,0.00108,0,,,
"2016-04-02T20:30:00Z","2016-04-02T21:00:00Z",83.56833,83.54035,83.58736,0.00018,180.00000,0.01732,0.00101,0,,,
"2016-04-02T21:00:00Z","2016-04-02T21:30:00Z",83.52299,83.49734,83.54435,0.00013,180.00000,0.01728,0.00085,0,,,
"2016-04-02T21:30:00Z","2016-04-02T22:00:00Z",83.47652,83.44033,83.49634,0.00010,180.00000,,0.00076,0,,,
"2016-04-02T22:00:00Z","2016-04-02T22:30:00Z",83.45038,83.43233,,0.00005,180.00000,0.01723,0.00051,0,,,
"2016-04-02T22:30:00Z","2016-04-02T23:00:00Z",83.43581,83.42133,83.44333,0.00002,180.00000,0.01721,0.00032,0,,,
"2016-04-02T23:00:00Z","2016-04-02T23:30:00Z",83.42421,83.41432,83.43133,0.00001,180.00000,0.01721,0.00023,0,,,
"2016-04-02T23:30:00Z","2016-04-03T00:00:00Z",83.41141,83.40032,83.42333,0.00003,180.00000,0.01722,0.00042,0,,,
"2016-04-03T00:00:00Z","2016-04-03T00:30:00Z",83.40376,83.39932,83.40733,0.00000,180.00000,0.01720,0.00012,0,,,
"2016-04-03T00:30:00Z","2016-04-03T01:00:00Z",83.39722,83.39133,83.40433,0.00001,180.00000,0.01721,0.00027,0,,,
"2016-04-03T01:00:00Z","2016-04-03T01:30:00Z",83.38928,83.38732,83.39133,0.00000,180.00000,0.01720,0.00007,0,,,
"2016-04-03T01:30:00Z","2016-04-03T02:00:00Z",83.39239,83.38833,83.39632,0.00000,180.00000,0.01720,0.00016,0,,,
"2016-04-03T02:00:00Z","2016-04-03T02:30:00Z",83.40728,83.39632,83.41833,0.00004,178.00000,0.01723,0.00049,0,,,
"2016-04-03T02:30:00Z","2016-04-03T03:00:00Z",83.43123,83.41633,83.43833,0.00004,180.00000,0.01722,0.00046,0,,,
"2016-04-03T03:00:00Z","2016-04-03T03:30:00Z",83.44169,83.43733,83.44434,0.00000,180.00000,0.01720,0.00013,0,,,
"2016-04-03T03:30:00Z","2016-04-03T04:00:00Z",83.43357,83.42933,83.43933,0.00001,180.00000,0.01721,0.00022,0,,,
"2016-04-03T04:00:00Z","2016-04-03T04:30:00Z",83.42494,83.41333,83.43433,0.00005,180.00000,0.01723,0.00050,0,,,
"2016-04-03T04:30:00Z","2016-04-03T05:00:00Z",83.40838,83.39832,83.41532,0.00001,180.00000,0.01721,0.00027,0,,,
